Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),infection,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,time_point,tissue
SRR13332242,RNA-Seq,138,827055768,PRJNA688734,SAMN17187141,344423747,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9759115,GSM4996084,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:41:00Z,1,GSM4996084,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332243,RNA-Seq,138,854329747,PRJNA688734,SAMN17187141,354633781,GEO,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX9759115,GSM4996084,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:41:00Z,1,GSM4996084,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332244,RNA-Seq,138,849819102,PRJNA688734,SAMN17187141,355664510,GEO,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9759115,GSM4996084,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:39:00Z,1,GSM4996084,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332245,RNA-Seq,138,832302560,PRJNA688734,SAMN17187141,344441379,GEO,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX9759115,GSM4996084,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:40:00Z,1,GSM4996084,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332246,RNA-Seq,138,925556551,PRJNA688734,SAMN17187140,385106775,GEO,public,"fastq,sra,run.zq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759116,GSM4996085,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:40:00Z,1,GSM4996085,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332247,RNA-Seq,138,955889361,PRJNA688734,SAMN17187140,396513179,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9759116,GSM4996085,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:40:00Z,1,GSM4996085,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332248,RNA-Seq,138,948730365,PRJNA688734,SAMN17187140,396762089,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX9759116,GSM4996085,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:41:00Z,1,GSM4996085,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332249,RNA-Seq,138,931545263,PRJNA688734,SAMN17187140,385082062,GEO,public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759116,GSM4996085,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:40:00Z,1,GSM4996085,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332250,RNA-Seq,132,807901377,PRJNA688734,SAMN17187139,335968282,GEO,public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9759117,GSM4996086,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:41:00Z,1,GSM4996086,cadaver donor eye tissue,SRP299835,24 hours,cornea
SRR13332251,RNA-Seq,132,832340297,PRJNA688734,SAMN17187139,345180483,GEO,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9759117,GSM4996086,mock,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2021-01-02T00:00:00Z,2020-12-30T15:41:00Z,1,GSM4996086,cadaver donor eye tissue,SRP299835,24 hours,cornea
